Population (Millions of people);1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Afghanistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;21,229;22,203;23,116;24,019;24,861;25,631;26,617;27,294;28,004;28,803;29,709;30,697;31,732;32,758;33,736;34,656;35,53;36,02
Albania;2,672;2,726;2,784;2,844;2,904;2,965;3,023;3,084;3,142;3,228;3,287;3,267;3,247;3,227;3,208;3,188;3,168;3,148;3,129;3,109;3,089;3,06;3,051;3,04;3,027;3,011;2,993;2,97;2,947;2,928;2,913;2,905;2,9;2,895;2,889;2,881;2,876;2,876;2,874
Algeria;18,666;19,246;19,864;20,516;21,175;22,2;22,8;23,4;24,1;24,7;25,022;25,643;26,271;26,894;27,496;28,06;28,566;29,045;29,507;29,965;30,506;30,954;31,414;31,885;32,366;32,855;33,351;33,858;34,591;35,268;35,978;36,717;37,495;38,297;39,114;39,963;40,836;41,721;42,578
Angola;8,91;9,151;9,393;9,639;9,894;11,149;11,467;11,76;12,079;12,41;12,742;13,124;13,518;13,923;14,341;14,771;15,214;15,671;16,141;16,625;17,124;17,637;18,166;18,711;19,273;19,851;20,446;21,06;21,692;22,342;23,013;23,703;24,414;25,147;25,901;26,681;27,503;28,377;29,25
Antigua and Barbuda;0,068;0,068;0,067;0,066;0,065;0,064;0,063;0,062;0,061;0,06;0,06;0,061;0,062;0,063;0,065;0,067;0,068;0,07;0,072;0,074;0,076;0,077;0,078;0,079;0,079;0,08;0,081;0,082;0,083;0,084;0,085;0,086;0,086;0,087;0,088;0,089;0,09;0,091;0,092
Argentina;27,95;28,45;28,93;29,34;29,84;30,35;30,74;31,09;31,47;31,86;32,53;32,97;33,42;33,917;34,353;34,779;35,196;35,604;36,005;36,399;36,784;37,156;37,516;37,87;38,226;38,592;38,971;39,356;39,746;40,134;40,788;41,261;41,733;42,203;42,67;43,132;43,59;44,072;44,56
Armenia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;3,51;3,51;3,45;3,37;3,29;3,22;3,17;3,14;3,11;3,09;3,08;3,06;3,05;3,04;3,03;3,01;3;2,99;2,98;2,97;2,966;2,968;2,97;2,98;2,985;2,99;2,993;2,979;2,969
Aruba;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;0,08;0,083;0,086;0,088;0,09;0,091;0,092;0,092;0,093;0,095;0,098;0,099;0,1;0,101;0,102;0,102;0,103;0,105;0,106;0,108;0,109;0,11;0,111;0,111
Australia;14,802;15,039;15,289;15,484;15,677;15,901;16,139;16,395;16,687;16,937;17,17;17,379;17,557;17,719;17,893;18,12;18,33;18,51;18,706;18,919;19,141;19,386;19,605;19,827;20,046;20,312;20,628;21,016;21,476;21,866;22,172;22,522;22,928;23,298;23,64;23,985;24,39;24,775;25,169
Austria;7,54;7,556;7,565;7,543;7,544;7,549;7,557;7,567;7,576;7,594;7,645;7,711;7,799;7,883;7,929;7,948;7,959;7,968;7,977;7,992;8,012;8,042;8,082;8,118;8,169;8,225;8,268;8,295;8,322;8,341;8,361;8,389;8,426;8,477;8,544;8,63;8,74;8,815;8,885
